playerId,name,team,position,season,situation,games_played,I_F_goals,I_F_primaryAssists,I_F_secondaryAssists,I_F_points,I_F_shotsOnGoal,I_F_blockedShotAttempts,I_F_hits,icetime,I_F_xGoals,I_F_highDangerShots,I_F_highDangerGoals,onIce_xGoalsPercentage,gameScore,I_F_assists
8481624,Ilya Mikheyev,TOR,R,2021,all,7,2.0,1.0,1.0,4.0,16.0,5.0,18.0,117:19,3.39,6.0,2.0,0.54,3.2,2
8475287,Erik Haula,BOS,L,2021,all,7,1.0,2.0,0.0,3.0,9.0,4.0,15.0,97:46,1.43,2.0,0.0,0.48,3.44,2
8478493,Joel Eriksson Ek,MIN,C,2021,all,6,3.0,2.0,0.0,5.0,20.0,6.0,16.0,108:57,2.02,1.0,1.0,0.56,6.1,2
8475208,Brian Dumoulin,PIT,D,2021,all,1,0.0,0.0,0.0,0.0,2.0,1.0,1.0,36:35,0.01,0.0,0.0,0.63,0.45,0
8478498,Jake DeBrusk,BOS,L,2021,all,7,2.0,1.0,1.0,4.0,14.0,4.0,14.0,117:32,0.77,0.0,0.0,0.4,3.19,2
8481598,Philip Broberg,EDM,D,2021,all,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:16,0.0,0.0,0.0,0.0,-0.2,0
8470281,Duncan Keith,EDM,D,2021,all,16,1.0,3.0,1.0,5.0,21.0,13.0,8.0,314:32,1.07,1.0,0.0,0.48,7.02,4
8474600,Roman Josi,NSH,D,2021,all,4,1.0,1.0,0.0,2.0,21.0,11.0,7.0,104:13,0.58,0.0,0.0,0.41,2.03,1
8475692,Mats Zuccarello,MIN,R,2021,all,6,1.0,1.0,2.0,4.0,9.0,9.0,4.0,115:32,0.73,1.0,0.0,0.56,3.49,3
8474062,Riley Nash,TBL,C,2021,all,8,0.0,0.0,0.0,0.0,7.0,0.0,9.0,59:55,0.75,1.0,0.0,0.6,1.25,0
8476927,Teddy Blueger,PIT,C,2021,all,7,0.0,1.0,0.0,1.0,8.0,2.0,16.0,98:50,0.33,0.0,0.0,0.43,1.94,1
8475197,Tyson Barrie,EDM,D,2021,all,16,1.0,2.0,2.0,5.0,28.0,29.0,12.0,292:55,1.69,2.0,0.0,0.63,4.65,4
8476278,Colin Blackwell,TOR,C,2021,all,7,1.0,0.0,1.0,2.0,7.0,2.0,12.0,50:22,0.41,0.0,0.0,0.36,0.88,1
8476422,Mike Reilly,BOS,D,2021,all,5,0.0,0.0,0.0,0.0,7.0,4.0,3.0,78:53,0.28,0.0,0.0,0.56,1.32,0
8479344,Jesse Puljujarvi,EDM,R,2021,all,16,2.0,0.0,1.0,3.0,22.0,5.0,30.0,161:20,2.69,3.0,1.0,0.59,5.15,1
8478055,Gustav Forsling,FLA,D,2021,all,10,0.0,1.0,2.0,3.0,21.0,16.0,22.0,219:36,0.74,0.0,0.0,0.48,8.98,3
